,Coor_X,Coor_Y,Coor_Z,Dist_H,Dist_V,Dist_I
0,73.268,29.287,98.987,75.5971440797,-1.013,75.6039308634
1,72.819,29.399,98.703,75.652547624,-1.297,75.6636648002
2,72.048,29.77,98.695,75.5881419536,-1.305,75.5994062741
3,71.686,30.036,99.063,75.4761147119,-0.937,75.4819306921
4,75.593,35.654,99.103,68.8193967207,-0.897,68.8252422735
5,75.129,35.674,98.724,68.9666652594,-1.276,68.9784683289
6,74.357,35.927,98.729,69.0138593183,-1.271,69.0255620694
7,73.963,36.056,99.115,69.041730171,-0.885,69.0474020511
8,77.882,41.622,99.162,62.4275324516,-0.838,62.4331566718
9,77.369,41.755,98.742,62.4871361642,-1.258,62.4997979997
10,76.618,41.989,98.759,62.5459354795,-1.241,62.5582458674
11,76.129,42.075,99.189,62.6508600579,-0.811,62.656108936
12,80.419,48.294,99.254,55.2894745589,-0.746,55.294507078
13,79.854,48.431,98.788,55.3644568022,-1.212,55.3777213417
14,79.101,48.669,98.789,55.4223760046,-1.211,55.4356048312
15,78.566,48.812,99.27,55.4943934105,-0.73,55.4991945888
16,82.63,54.075,99.336,49.1001275457,-0.664,49.1046171047
17,82.106,54.381,98.787,49.0029427382,-1.213,49.0179535069
18,81.218,54.467,98.809,49.2546202198,-1.191,49.2690175871
19,80.684,54.578,99.318,49.3585447516,-0.682,49.3632562135
20,85.429,61.993,99.407,40.704374335,-0.593,40.7086936538
21,84.895,62.248,98.857,40.6617083876,-1.143,40.6777700716
22,84.204,62.679,98.861,40.5261724938,-1.139,40.5421752993
23,83.616,62.886,99.407,40.5695015005,-0.593,40.5738351774
