,Dist_H,Ang_H,Ang_V,Pr_x,Pr_y,Dist_V,Coo_x,Coo_y,Coo_z
0,10.805,3.577924967,1.588249619,0.674296755836,10.7839393955,0.299593341671,100.674296756,110.783939395,100.299593342
1,10.68,3.543018382,1.623156204,0.660001937743,10.6595871141,0.302639171927,100.660001938,110.659587114,100.302639172
2,10.53,3.612831552,1.623156204,0.663537723934,10.5090731127,0.298388621759,100.663537724,110.509073113,100.298388622
3,10.444,3.455751919,1.623156204,0.62954016463,10.4250091214,0.295951639663,100.629540165,110.425009121,100.29595164
4,10.276,3.420845334,1.588249619,0.613164285212,10.2576900694,0.284925606572,100.613164285,110.257690069,100.284925607
5,7.312,3.543018382,1.605702912,0.451866495204,7.29802443614,0.204971020291,100.451866495,107.298024436,100.20497102
6,7.482,3.595378259,1.640609497,0.469196324005,7.46727385393,0.214298439836,100.469196324,107.467273854,100.21429844
7,7.689,3.630284844,1.658062789,0.48685239389,7.67357125116,0.222571451291,100.486852394,107.673571251,100.222571451
8,7.95,3.682644722,1.640609497,0.510628737917,7.93358420211,0.227702833025,100.510628738,107.933584202,100.227702833
9,8.18,3.735004599,1.588249619,0.532861300152,8.16262573164,0.226809211927,100.5328613,108.162625732,100.226809212
